	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
0	18005273918369940	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	18005273918369940/insights/reach/lifetime	146.0	2024-05-25	05	2024	25	1800527391836994020240525reachlifetime
1	18005273918369940	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	18005273918369940/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1800527391836994020240525savedlifetime
0	17846370906157882	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	17846370906157882/insights/reach/lifetime	99.0	2024-05-25	05	2024	25	1784637090615788220240525reachlifetime
1	17846370906157882	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	17846370906157882/insights/saved/lifetime	0.0	2024-05-25	05	2024	25	1784637090615788220240525savedlifetime
0	18002752616172667	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	18002752616172667/insights/reach/lifetime	123.0	2024-05-25	05	2024	25	1800275261617266720240525reachlifetime
1	18002752616172667	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	18002752616172667/insights/saved/lifetime	0.0	2024-05-25	05	2024	25	1800275261617266720240525savedlifetime
0	17971594208670851	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	17971594208670851/insights/reach/lifetime	138.0	2024-05-25	05	2024	25	1797159420867085120240525reachlifetime
1	17971594208670851	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	17971594208670851/insights/saved/lifetime	0.0	2024-05-25	05	2024	25	1797159420867085120240525savedlifetime
0	18062694892504235	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	18062694892504235/insights/reach/lifetime	138.0	2024-05-25	05	2024	25	1806269489250423520240525reachlifetime
1	18062694892504235	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	18062694892504235/insights/saved/lifetime	0.0	2024-05-25	05	2024	25	1806269489250423520240525savedlifetime
0	17870243565059503	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	17870243565059503/insights/reach/lifetime	131.0	2024-05-25	05	2024	25	1787024356505950320240525reachlifetime
