	id_account	id_midia	media_type_x	media_type_y	media_url	id
0	17841417530400616	18014406560219838	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/435457154_393408560287634_1753949339373004468_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeG_gSpiivoJ5PHBxV8TfFSWzcDIe1UCfRXNwMh7VQJ9FRTMtbq7a0eWAHKh0ZCR9wbmN0RxeZOSJh5Tg2_q-j9l&_nc_ohc=37LZjPGa9vcQ7kNvgG2A6oq&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYCUgjrvRWxOXAz7uQ7pfJO5QHvjebHaXJmDkyibcsbBVQ&oe=6651A514	17872413915075936
1	17841417530400616	18014406560219838	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/435474000_951748906595807_950888694991031207_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeHPnXTEYUr43ZQd9pqzNIP5uf73Gksmzpy5_vcaSybOnATMOm4-H0tzfXJjQPgE2L7jXFTJBdJw8d-NGt5VOwRD&_nc_ohc=YC637uU4MAwQ7kNvgGP5FPj&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYC1XNAcK8SPjF5PyptA6CvMtNSuBgpFPnNLo_9Uyn1IMg&oe=6651B6D9	18035366650865659
0	17841417530400616	18012911482864852	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/403840449_714638450715671_8000635819614676478_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeHyxv1oMu0OHKWE4SstdbDGJnuWN60qcdAme5Y3rSpx0EAuvvhJG5us3IYmfcoV34YgPs2gTp9RZe21GLMacNrB&_nc_ohc=OHJZYLQzWIEQ7kNvgE2lKh5&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBb4cWU0-C_qKPf4VUFhVcaT6d2d89UFqLnsTbedvy-fA&oe=6651B304	17953216079703099
1	17841417530400616	18012911482864852	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/403935222_876561250802942_6102834736782175247_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEb_YfLBqLENXfBEVZvlTPignloJvmG3KiCeWgm-YbcqL1JTU2CAVEZXZjXiNYns0uhgHWNCO6vxTielKP3_Ic3&_nc_ohc=3U-MfX5HcXwQ7kNvgF5B668&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYD8uXdtfqYb6Psd74PmDf3ocrz4CPZ6DW8dneB62t-nzQ&oe=6651B650	17933873435780382
2	17841417530400616	18012911482864852	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/403919497_1079881016558495_5978663413358670459_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEcK_MwiyHzQHVVHGYThPc34bLCOchl8pPhssI5yGXyk_3OHe2LuHFi8ol1LMNafjTatek-cidgaMhtN6z3qXHG&_nc_ohc=uEuBNyW9jlgQ7kNvgFJbvMt&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBZw793fAFdxD75Z-rrytTAye-Ioo64D3RsjHgBKnqe-w&oe=6651A68E	18026180065749737
0	17841417530400616	18015261277785871	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/398663136_349849537434798_4549962385295905512_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeGf2pkr4BM3t0sxh5UGCfJgtA5sjBMsYxW0DmyMEyxjFcQ5k_K5FUkJLOqthyvDABsVszDbPsbjpsahxl4B2OT5&_nc_ohc=iEu1sn3AUU8Q7kNvgGF02sZ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBO8ikyI0lMzpZ0HVIcEEuX8-cIkV3S7CsdXVDiPga0IA&oe=6651B030	18014163472936353
1	17841417530400616	18015261277785871	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/397465150_321060440554041_6101830516884550838_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeH7CzVn4EGh_Rc2ivb-eSlQGdaKp-dPvhcZ1oqn50--F4xQxd7St7nIbg0OySe10dSunoWxTkrg-1i02IkHoE5S&_nc_ohc=2Ssu4Tt1lJUQ7kNvgHMaBDJ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBCaCRQg7TAb5Tf-j-6SxSIdx43G2qTeczQo74jd5x7sw&oe=6651BA23	17862512733033424
0	17841417530400616	18316677496102466	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/382569904_985728812683590_7949882278049193697_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeEsNRlPLsZUgIGPHNV2ED5pvKF8G7aX7nm8oXwbtpfueS7ivvoX-bw89Lp3wa2EpCxUWOJCeuwdzyKES45Je-7l&_nc_ohc=DjembQi8_f4Q7kNvgFm7jI_&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYA2WYB1GL9QbnjIecpCsWdRnZmEq50bU6819AUOaitsqw&oe=6651A1F3	17863324815001702
1	17841417530400616	18316677496102466	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/382924559_1061529698382029_2576894454898080426_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeFD07jHCRCFtP2lTBdRIoN_6ySG3nUsjtrrJIbedSyO2tgX66An5c0Qbrz0izZ2264055pPGx_i5kFhBA8LRJBn&_nc_ohc=03UPHdfF3-YQ7kNvgGi0cyo&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYBoHhe_48Elw-a9lXyrJhMUOboOQZdw3hUB_WViJBRY0g&oe=6651B345	17975175116597421
0	17841417530400616	18049683463435392	CAROUSEL_ALBUM	IMAGE	https://scontent.cdninstagram.com/v/t51.29350-15/370910288_288225613827976_5037436504249466149_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_eui2=AeFP0hSfUVw-dBhVzHC_sB9bdX97HnvAt8J1f3see8C3wrt3r9ydrAB1xnMT76A2nBO_2--hSVle7jcCNm46WNFJ&_nc_ohc=hRgyd3cB-VsQ7kNvgHmT4UZ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AYAjdInU71AH5PoQs9lDD7Twtteb-QknncNBUi85Ytl4Pw&oe=6651A680	18191989588281081
